method,cluster,nodes,valid,transitional,non_compliant,unknown,non_compliant_concentration
Baseline,1,10,8,1,1,0,0.1
Baseline,2,11,7,1,3,0,0.2727272727272727
Baseline,3,10,6,2,2,0,0.2
Baseline,4,9,6,3,0,0,0.0
Baseline,5,11,7,3,1,0,0.09090909090909091
Baseline,6,10,5,3,2,0,0.2
Baseline,7,9,6,2,1,0,0.1111111111111111
Baseline,8,10,7,3,0,0,0.0
Baseline,9,10,9,1,0,0,0.0
Baseline,10,10,9,1,0,0,0.0
Security-Aware,1,10,7,2,1,0,0.1
Security-Aware,2,10,7,2,1,0,0.1
Security-Aware,3,10,7,2,1,0,0.1
Security-Aware,4,9,6,2,1,0,0.1111111111111111
Security-Aware,5,11,8,2,1,0,0.09090909090909091
Security-Aware,6,9,6,2,1,0,0.1111111111111111
Security-Aware,7,9,6,2,1,0,0.1111111111111111
Security-Aware,8,10,7,2,1,0,0.1
Security-Aware,9,12,9,2,1,0,0.08333333333333333
Security-Aware,10,10,7,2,1,0,0.1
