scenario,run,seed,method,clusters,non_compliant_total,clusters_with_non_compliant,max_non_compliant_concentration,mean_non_compliant_concentration,average_non_compliant_per_cluster,cluster_size_std,cluster_size_range,clustering_time_sec
S1_90_0_10,1,10000,Baseline,10,10,7,0.2727272727272727,0.09787878787878787,1.0,0.816496580927726,2,0.0003903330070897937
S1_90_0_10,1,10000,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005280000041238964
S1_90_0_10,2,10001,Baseline,10,10,6,0.3,0.09909090909090909,1.0,0.6666666666666666,2,0.000359041994670406
S1_90_0_10,2,10001,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005037079972680658
S1_90_0_10,3,10002,Baseline,10,10,7,0.2222222222222222,0.0994949494949495,1.0,0.9428090415820634,3,0.00036241699126549065
S1_90_0_10,3,10002,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0004982080135960132
S1_90_0_10,4,10003,Baseline,10,10,6,0.3333333333333333,0.10464646464646464,1.0,0.6666666666666666,2,0.00035816701711155474
S1_90_0_10,4,10003,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.000492625025799498
S1_90_0_10,5,10004,Baseline,10,10,7,0.2,0.09727272727272727,1.0,0.6666666666666666,2,0.0003733749908860773
S1_90_0_10,5,10004,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0004955840122420341
S1_90_0_10,6,10005,Baseline,10,10,7,0.3,0.09858585858585858,1.0,0.9428090415820634,2,0.00038545799907296896
S1_90_0_10,6,10005,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005039999959990382
S1_90_0_10,7,10006,Baseline,10,10,7,0.2222222222222222,0.0996969696969697,1.0,0.816496580927726,2,0.00036287499824538827
S1_90_0_10,7,10006,Security-Aware,10,10,10,0.1111111111111111,0.10095959595959596,1.0,1.0540925533894598,3,0.0004844590148422867
S1_90_0_10,8,10007,Baseline,10,10,8,0.2,0.10242424242424243,1.0,0.9428090415820634,3,0.0004197079979348928
S1_90_0_10,8,10007,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0004972500028088689
S1_90_0_10,9,10008,Baseline,10,10,8,0.2222222222222222,0.0994949494949495,1.0,0.6666666666666666,2,0.00035904100514017045
S1_90_0_10,9,10008,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005204159824643284
S1_90_0_10,10,10009,Baseline,10,10,8,0.25,0.10247474747474748,1.0,1.0540925533894598,3,0.009027583000715822
S1_90_0_10,10,10009,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005402499809861183
S1_90_0_10,11,10010,Baseline,10,10,6,0.3,0.09858585858585858,1.0,0.816496580927726,2,0.00036979198921471834
S1_90_0_10,11,10010,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005430419987533242
S1_90_0_10,12,10011,Baseline,10,10,7,0.2,0.09909090909090909,1.0,0.4714045207910317,2,0.0003700829984154552
S1_90_0_10,12,10011,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005602499877568334
S1_90_0_10,13,10012,Baseline,10,10,5,0.4,0.09909090909090909,1.0,0.6666666666666666,2,0.0004072499868925661
S1_90_0_10,13,10012,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005413339822553098
S1_90_0_10,14,10013,Baseline,10,10,7,0.3333333333333333,0.105,1.0,0.9428090415820634,3,0.0003664169926196337
S1_90_0_10,14,10013,Security-Aware,10,10,10,0.1111111111111111,0.10095959595959596,1.0,1.0540925533894598,3,0.0005414589832071215
S1_90_0_10,15,10014,Baseline,10,10,6,0.3333333333333333,0.10114219114219114,1.0,1.3333333333333333,4,0.0003907910140696913
S1_90_0_10,15,10014,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005377499910537153
S1_90_0_10,16,10015,Baseline,10,10,7,0.3,0.10020202020202021,1.0,0.6666666666666666,2,0.0003797499812208116
S1_90_0_10,16,10015,Security-Aware,10,10,10,0.1111111111111111,0.10075757575757575,1.0,0.9428090415820634,3,0.0005296250164974481
S1_90_0_10,17,10016,Baseline,10,10,7,0.25,0.10393939393939394,1.0,1.1547005383792515,4,0.0003864169993903488
S1_90_0_10,17,10016,Security-Aware,10,10,10,0.1111111111111111,0.10075757575757575,1.0,0.9428090415820634,3,0.0005411249876488
S1_90_0_10,18,10017,Baseline,10,10,5,0.3333333333333333,0.09853535353535353,1.0,1.0540925533894598,3,0.0003904589975718409
S1_90_0_10,18,10017,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005492079944815487
S1_90_0_10,19,10018,Baseline,10,10,6,0.2727272727272727,0.09878787878787879,1.0,0.816496580927726,2,0.00039141697925515473
S1_90_0_10,19,10018,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005478749808389693
S1_90_0_10,20,10019,Baseline,10,10,7,0.4,0.10040404040404041,1.0,0.816496580927726,2,0.00038225000025704503
S1_90_0_10,20,10019,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005800829967483878
S1_90_0_10,21,10020,Baseline,10,10,6,0.3,0.09886363636363636,1.0,0.9428090415820634,3,0.0004087919951416552
S1_90_0_10,21,10020,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005452919867821038
S1_90_0_10,22,10021,Baseline,10,10,7,0.2222222222222222,0.09964646464646465,1.0,0.9428090415820634,3,0.0003783340216614306
S1_90_0_10,22,10021,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005615840200334787
S1_90_0_10,23,10022,Baseline,10,10,7,0.2,0.10131313131313131,1.0,0.816496580927726,2,0.0003683330141939223
S1_90_0_10,23,10022,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005202079773880541
S1_90_0_10,24,10023,Baseline,10,10,6,0.2222222222222222,0.10131313131313131,1.0,0.6666666666666666,2,0.00038095799391157925
