time_step,changed_nodes,valid_nodes,transitional_nodes,non_compliant_nodes,unsafe_clusters,reconfigured,reconfiguration_count_step,reconfiguration_count_cumulative,moved_nodes,moved_nodes_cumulative,max_concentration_before,max_concentration_after,concentration_reduction_absolute,concentration_reduction_percent
1,8,64,23,13,1,1,1,1,90,90,0.2222222222222222,0.2,0.0222222222222222,9.99999999999999
2,8,61,24,15,2,1,1,2,76,166,0.2222222222222222,0.2,0.0222222222222222,9.99999999999999
3,5,60,20,20,3,1,1,3,71,237,0.3,0.25,0.04999999999999999,16.666666666666664
4,4,56,21,23,6,1,1,4,67,304,0.3,0.2727272727272727,0.027272727272727282,9.090909090909093
5,7,50,27,23,6,1,1,5,75,379,0.3333333333333333,0.3,0.033333333333333326,9.999999999999998
6,8,46,24,30,7,1,1,6,85,464,0.4,0.3333333333333333,0.06666666666666671,16.66666666666668
7,7,43,25,32,10,1,1,7,85,549,0.5,0.3333333333333333,0.16666666666666669,33.333333333333336
8,6,39,28,33,9,1,1,8,93,642,0.4444444444444444,0.375,0.06944444444444442,15.624999999999995
9,8,35,27,38,9,1,1,9,94,736,0.5,0.4444444444444444,0.05555555555555558,11.111111111111116
10,8,32,26,42,10,1,1,10,82,818,0.5454545454545454,0.4444444444444444,0.101010101010101,18.51851851851852
11,7,32,24,44,10,1,1,11,75,893,0.5555555555555556,0.46153846153846156,0.09401709401709402,16.92307692307692
12,9,32,26,42,9,1,1,12,80,973,0.5555555555555556,0.4444444444444444,0.11111111111111116,20.000000000000007
13,5,32,23,45,10,1,1,13,78,1051,0.5555555555555556,0.5,0.05555555555555558,10.000000000000004
14,8,29,25,46,10,1,1,14,90,1141,0.5555555555555556,0.5,0.05555555555555558,10.000000000000004
15,10,24,27,49,10,1,1,15,89,1230,0.6,0.5555555555555556,0.0444444444444444,7.4074074074074
16,7,23,28,49,10,1,1,16,82,1312,0.625,0.5,0.125,20.0
17,5,25,25,50,10,1,1,17,72,1384,0.625,0.5,0.125,20.0
18,8,23,23,54,10,1,1,18,83,1467,0.625,0.5555555555555556,0.06944444444444442,11.111111111111107
19,7,22,22,56,10,1,1,19,84,1551,0.6666666666666666,0.6,0.06666666666666665,9.999999999999998
